date;age;sex;vrs_cases
2009-11-22;4;Male;1
2009-11-23;0;Female;30
2009-11-23;0;Male;44
2009-11-23;1;Female;7
2009-11-23;1;Male;7
2009-11-23;2;Female;4
2009-11-23;2;Male;2
2009-11-23;3;Male;1
2009-11-23;4;Female;1
2009-11-24;0;Female;26
2009-11-24;0;Male;35
2009-11-24;1;Female;4
2009-11-24;1;Male;8
2009-11-24;2;Female;2
2009-11-24;2;Male;6
2009-11-25;0;Female;35
2009-11-25;0;Male;51
2009-11-25;1;Female;7
2009-11-25;1;Male;9
2009-11-25;2;Female;2
2009-11-25;3;Female;1
2009-11-25;4;Female;2
2009-11-25;4;Male;1
2009-11-26;0;Female;32
2009-11-26;0;Male;36
2009-11-26;1;Female;5
2009-11-26;1;Male;16
2009-11-26;2;Female;2
2009-11-26;2;Male;6
2009-11-26;3;Male;1
2009-11-26;4;Female;1
2009-11-27;0;Female;33
2009-11-27;0;Male;39
2009-11-27;1;Female;9
2009-11-27;1;Male;15
2009-11-27;2;Female;1
2009-11-27;2;Male;4
2009-11-27;3;Female;1
2009-11-27;4;Male;2
2009-11-28;0;Male;10
2009-11-28;2;Male;2
2009-11-29;0;Female;2
2009-11-29;0;Male;6
2009-11-29;1;Male;2
2009-11-30;0;Female;50
2009-11-30;0;Male;67
2009-11-30;1;Female;7
2009-11-30;1;Male;17
2009-11-30;2;Female;6
2009-11-30;2;Male;2
2009-11-30;3;Male;1
2009-11-30;4;Male;1
2009-12-01;0;Female;34
2009-12-01;0;Male;58
2009-12-01;1;Female;8
2009-12-01;1;Male;20
2009-12-01;2;Female;3
2009-12-01;2;Male;5
2009-12-02;0;Female;51
2009-12-02;0;Male;45
2009-12-02;1;Female;7
2009-12-02;1;Male;11
2009-12-02;2;Female;2
2009-12-02;2;Male;4
2009-12-02;3;Female;3
2009-12-02;3;Male;1
2009-12-02;4;Female;1
2009-12-02;4;Male;1
2009-12-03;0;Female;46
2009-12-03;0;Male;60
2009-12-03;1;Female;21
2009-12-03;1;Male;20
2009-12-03;2;Female;3
2009-12-03;2;Male;3
2009-12-03;3;Female;4
2009-12-03;3;Male;1
2009-12-03;4;Female;1
2009-12-04;0;Female;47
2009-12-04;0;Male;54
2009-12-04;1;Female;18
2009-12-04;1;Male;19
2009-12-04;2;Female;1
2009-12-04;2;Male;5
2009-12-04;3;Male;2
2009-12-05;0;Female;3
2009-12-05;0;Male;12
2009-12-05;1;Male;2
2009-12-05;2;Male;1
2009-12-05;4;Male;1
2009-12-06;0;Female;2
2009-12-06;0;Male;10
2009-12-06;1;Female;2
2009-12-07;0;Female;56
2009-12-07;0;Male;67
2009-12-07;1;Female;10
2009-12-07;1;Male;14
2009-12-07;2;Female;1
2009-12-07;2;Male;4
2009-12-07;4;Female;1
2009-12-07;4;Male;2
2009-12-08;0;Female;5
2009-12-08;0;Male;1
2009-12-08;1;Male;1
2009-12-08;3;Female;1
2009-12-09;0;Female;85
2009-12-09;0;Male;95
2009-12-09;1;Female;25
2009-12-09;1;Male;22
2009-12-09;2;Female;4
2009-12-09;2;Male;9
2009-12-09;4;Male;1
2009-12-10;0;Female;45
2009-12-10;0;Male;74
2009-12-10;1;Female;15
2009-12-10;1;Male;17
2009-12-10;2;Female;5
2009-12-10;2;Male;5
2009-12-10;4;Male;2
2009-12-11;0;Female;70
2009-12-11;0;Male;85
2009-12-11;1;Female;18
2009-12-11;1;Male;15
2009-12-11;2;Male;3
2009-12-11;3;Male;2
2009-12-11;4;Female;1
2009-12-11;4;Male;2
2009-12-12;0;Female;5
2009-12-12;0;Male;12
2009-12-12;1;Female;3
2009-12-12;1;Male;2
2009-12-12;2;Female;2
2009-12-12;3;Female;1
2009-12-13;0;Female;3
2009-12-13;0;Male;2
2009-12-13;1;Female;2
2009-12-14;0;Female;102
2009-12-14;0;Male;112
2009-12-14;1;Female;16
2009-12-14;1;Male;28
2009-12-14;2;Female;4
2009-12-14;2;Male;8
2009-12-14;3;Male;1
2009-12-14;4;Male;1
2009-12-15;0;Female;80
2009-12-15;0;Male;92
2009-12-15;1;Female;13
2009-12-15;1;Male;18
2009-12-15;2;Female;3
2009-12-15;2;Male;8
2009-12-15;3;Female;8
2009-12-15;3;Male;1
2009-12-15;4;Female;1
2009-12-15;4;Male;1
2009-12-16;0;Female;81
2009-12-16;0;Male;93
2009-12-16;1;Female;11
2009-12-16;1;Male;20
2009-12-16;2;Female;2
2009-12-16;2;Male;1
2009-12-16;3;Female;5
2009-12-16;4;Female;1
2009-12-16;4;Male;1
2009-12-17;0;Female;60
2009-12-17;0;Male;87
2009-12-17;1;Female;15
2009-12-17;1;Male;20
2009-12-17;2;Female;4
2009-12-17;2;Male;2
2009-12-17;3;Male;3
2009-12-17;4;Female;1
2009-12-18;0;Female;64
2009-12-18;0;Male;104
2009-12-18;1;Female;24
2009-12-18;1;Male;17
2009-12-18;2;Female;2
2009-12-18;2;Male;2
2009-12-18;3;Female;1
2009-12-18;3;Male;2
2009-12-19;0;Female;11
2009-12-19;0;Male;17
2009-12-19;1;Female;1
2009-12-19;1;Male;2
2009-12-19;2;Female;1
2009-12-20;0;Female;7
2009-12-20;0;Male;9
2009-12-20;1;Female;1
2009-12-20;1;Male;1
2009-12-21;0;Female;99
2009-12-21;0;Male;138
2009-12-21;1;Female;22
2009-12-21;1;Male;17
2009-12-21;2;Female;2
2009-12-21;2;Male;2
2009-12-21;3;Male;1
2009-12-22;0;Female;85
2009-12-22;0;Male;78
2009-12-22;1;Female;18
2009-12-22;1;Male;16
2009-12-22;2;Female;5
2009-12-22;2;Male;3
2009-12-22;3;Female;1
2009-12-22;4;Female;1
2009-12-22;4;Male;1
2009-12-23;0;Female;65
2009-12-23;0;Male;92
2009-12-23;1;Female;18
2009-12-23;1;Male;11
2009-12-23;2;Female;3
2009-12-23;2;Male;3
2009-12-23;3;Female;2
2009-12-23;3;Male;1
2009-12-24;0;Female;59
2009-12-24;0;Male;89
2009-12-24;1;Female;13
2009-12-24;1;Male;12
2009-12-24;2;Female;5
2009-12-24;2;Male;1
2009-12-24;3;Female;1
2009-12-24;3;Male;1
2009-12-25;0;Female;6
2009-12-25;0;Male;12
2009-12-25;1;Female;1
2009-12-25;3;Male;1
2009-12-26;0;Female;10
2009-12-26;0;Male;9
2009-12-26;1;Male;1
2009-12-26;2;Female;1
2009-12-27;0;Female;1
2009-12-27;0;Male;7
2009-12-27;1;Male;1
2009-12-27;3;Male;1
2009-12-28;0;Female;140
2009-12-28;0;Male;160
2009-12-28;1;Female;16
2009-12-28;1;Male;13
2009-12-28;2;Female;2
2009-12-28;2;Male;5
2009-12-28;3;Female;1
2009-12-28;3;Male;1
2009-12-28;4;Female;1
2009-12-28;4;Male;3
2009-12-29;0;Female;95
2009-12-29;0;Male;107
2009-12-29;1;Female;19
2009-12-29;1;Male;8
2009-12-29;2;Female;2
2009-12-29;2;Male;3
2009-12-29;4;Female;2
2009-12-30;0;Female;61
2009-12-30;0;Male;96
2009-12-30;1;Female;11
2009-12-30;1;Male;10
2009-12-30;2;Female;3
2009-12-30;2;Male;4
2009-12-30;4;Male;1
2009-12-31;0;Female;80
2009-12-31;0;Male;107
2009-12-31;1;Female;13
2009-12-31;1;Male;14
2009-12-31;2;Female;3
2009-12-31;2;Male;1
2009-12-31;3;Male;1
2009-12-31;4;Female;1
2010-01-01;0;Female;11
2010-01-01;0;Male;16
2010-01-01;1;Female;1
2010-01-02;0;Female;12
2010-01-02;0;Male;26
2010-01-02;1;Female;3
2010-01-02;2;Male;1
2010-01-03;0;Female;5
2010-01-03;0;Male;15
2010-01-03;1;Female;1
2010-01-03;2;Female;1
2010-01-03;4;Female;1
2010-01-04;0;Female;143
2010-01-04;0;Male;193
2010-01-04;1;Female;17
2010-01-04;1;Male;12
2010-01-04;2;Female;3
2010-01-04;2;Male;2
2010-01-05;0;Female;75
2010-01-05;0;Male;109
2010-01-05;1;Female;7
2010-01-05;1;Male;12
2010-01-05;2;Male;1
2010-01-05;3;Female;1
2010-01-05;3;Male;2
2010-01-06;0;Female;6
2010-01-06;0;Male;7
2010-01-07;0;Female;64
2010-01-07;0;Male;100
2010-01-07;1;Female;9
2010-01-07;1;Male;9
2010-01-07;2;Female;4
2010-01-07;2;Male;1
2010-01-07;3;Female;1
2010-01-08;0;Female;71
2010-01-08;0;Male;92
2010-01-08;1;Female;4
2010-01-08;1;Male;2
2010-01-08;2;Female;3
2010-01-08;3;Male;1
2010-01-09;0;Female;4
2010-01-09;0;Male;8
2010-01-09;1;Female;3
2010-01-10;0;Female;4
2010-01-10;0;Male;8
2010-01-10;1;Female;1
2010-01-11;0;Female;102
2010-01-11;0;Male;121
2010-01-11;1;Female;8
2010-01-11;1;Male;16
2010-01-11;2;Female;1
2010-01-11;4;Male;1
2010-01-12;0;Female;56
2010-01-12;0;Male;68
2010-01-12;1;Female;5
2010-01-12;1;Male;4
2010-01-12;2;Male;2
2010-01-12;4;Female;1
2010-01-13;0;Female;58
2010-01-13;0;Male;65
2010-01-13;1;Female;9
2010-01-13;1;Male;8
2010-01-13;3;Female;2
2010-01-14;0;Female;40
2010-01-14;0;Male;75
2010-01-14;1;Female;7
2010-01-14;1;Male;7
2010-01-14;2;Female;6
2010-01-14;2;Male;3
2010-01-15;0;Female;44
2010-01-15;0;Male;64
2010-01-15;1;Female;8
2010-01-15;1;Male;12
2010-01-15;2;Female;1
2010-01-15;2;Male;5
2010-01-15;3;Female;2
2010-01-16;0;Female;2
2010-01-16;0;Male;3
2010-01-16;1;Female;2
2010-01-17;0;Female;2
2010-01-17;0;Male;5
2010-01-17;1;Female;1
2010-01-17;1;Male;1
2010-01-17;2;Female;1
2010-01-18;0;Female;60
2010-01-18;0;Male;88
